"","RSV","Plot","forestType","tree_id_field","dist_to_nearest_itd","height_diff_with_nearest"
"963","14","H02","Mixed",50,3.37014110573563,16.75
"964","14","H02","Mixed",51,0.810092997344931,13.3519973754883
"965","14","H02","Mixed",52,2.03884663126932,15.0490036010742
"966","14","H02","Mixed",53,1.52750912915318,15.0490036010742
"967","14","H02","Mixed",54,2.45086634374127,11.9879989624023
"968","14","H02","Mixed",55,0.372457826345777,13.8339996337891
"969","14","H02","Mixed",56,2.06406740199168,11.2909927368164
"970","14","H02","Mixed",57,2.97451447644271,12.6699981689453
"971","14","H04","Mixed",1,0.3631431254457,NA
"972","14","H04","Mixed",2,1.8809072763643,NA
"973","14","H04","Mixed",3,0.312745844290884,NA
"974","14","H04","Mixed",4,1.4810346144706,NA
"975","14","H04","Mixed",7,0.246363486164324,NA
"976","14","H04","Mixed",11,1.49249300219601,1.8569946289062
"977","14","H04","Mixed",12,2.09275954171698,1.1039962768555
"978","14","H04","Mixed",13,3.39171794420458,0.346000671386701
"979","14","H04","Mixed",14,1.38439531718883,1.411003112793
"980","14","H04","Mixed",15,2.0383478218746,2.2430038452148
"981","14","H04","Mixed",16,1.38968187045382,1.5609970092773
"982","14","H04","Mixed",18,0.422977799805573,-1.588996887207
"983","14","H04","Mixed",19,0.650426026516154,-1.588996887207
"984","14","H04","Mixed",24,1.57003184679927,NA
"985","14","H04","Mixed",25,1.99624647777311,-2.4280014038086
"986","14","H04","Mixed",26,2.17943342673769,9.5009994506836
"987","14","H04","Mixed",28,1.34357325886014,3.7250061035156
"988","14","H04","Mixed",29,0.751247775495839,4.7250061035156
"989","14","H04","Mixed",30,2.12585867172233,6.7250061035156
"990","14","H04","Mixed",32,3.15619402355091,1.6899948120117
"991","14","H04","Mixed",34,2.52972860807665,0.689994812011701
"992","14","H04","Mixed",36,2.21020361051581,11.9339981079102
"993","14","H04","Mixed",37,2.76567420596399,11.1320037841797
"994","14","H04","Mixed",38,0.545093451820086,5.2840042114258
"995","14","H04","Mixed",39,0.649780670277683,6.9770050048828
"996","14","H04","Mixed",41,1.70300650204598,NA
"997","14","H04","Mixed",42,0.747193790257008,5.0919952392578
"998","14","H04","Mixed",43,1.74215709600276,6.1320037841797
"999","14","H04","Mixed",44,2.12826893786734,5.7839965820312
"1000","14","H04","Mixed",46,1.12572280906714,4.7839965820312
"1001","14","H04","Mixed",47,2.61112568122456,1.7839965820312
"1002","14","H04","Mixed",48,1.20321687904511,7.2060012817383
"1003","14","H04","Mixed",50,1.4566339313835,6.4150009155273
"1004","14","H04","Mixed",51,1.19068487278475,5.4150009155273
"1005","14","H04","Mixed",54,1.02768672936675,-3.0579986572266
"1006","14","H04","Mixed",56,0.503377378074268,1.8259963989258
"1007","14","H04","Mixed",58,3.02329626219595,-0.217002868652301
"1008","14","H04","Mixed",60,1.7674639609265,5.9029998779297
"1009","14","H04","Mixed",61,0.819624440511308,-0.02099609375
"1010","14","H04","Mixed",64,1.79936417746401,-3.8960037231445
"1011","14","H04","Mixed",65,2.52143279615941,2.0320053100586
"1012","14","H04","Mixed",66,1.4319644564802,-4.1430053710938
"1013","14","H04","Mixed",67,2.2049213560566,2.411003112793
"1014","14","H04","Mixed",68,2.27295518048299,3.2430038452148
"1015","14","H04","Mixed",69,1.06585775659272,NA
"1016","14","H04","Mixed",70,0.286155202105843,0.411003112793001
"1017","14","H04","Mixed",71,1.13412209525483,-2.1669998168945
"1018","14","H04","Mixed",72,1.02705433606026,-2.0429992675781
"1019","14","H04","Mixed",73,2.24344338109193,NA
"1020","14","H04","Mixed",74,0.913577435463628,NA
"1021","14","H04","Mixed",75,1.88547916946528,1.35400390625
"1022","14","H04","Mixed",77,1.69852877514236,0.1679992675781
"1023","14","H04","Mixed",78,1.34927298979157,7.3330001831055
"1024","14","H04","Mixed",79,2.28385505843065,-0.428001403808601
"1025","14","H04","Mixed",81,2.35210628529971,6.5009994506836
"1026","14","H04","Mixed",82,2.01641190343194,NA
"1027","14","H04","Mixed",83,0.564098181133319,-1.5979995727539
"1028","14","H04","Mixed",84,0.751247775495839,3.7250061035156
"1029","14","H04","Mixed",86,2.57992536362727,-2.3100051879883
"1030","14","H04","Mixed",88,2.32546026798956,5.2840042114258
"1031","14","H04","Mixed",90,2.07982605639474,7.0919952392578
"1032","14","H04","Mixed",91,0.927979065315788,3.9770050048828
"1033","14","H04","Mixed",92,0.992989113714907,6.9770050048828
"1034","14","H04","Mixed",93,3.18208511149503,11.2840042114258
"1035","14","H04","Mixed",94,3.24872507802379,7.7829971313477
"1036","14","H05","Mixed",1,4.10199085008067,8.2210006713867
"1037","14","H05","Mixed",2,5.35255095485027,3.2910003662109
"1038","14","H05","Mixed",4,2.82659275412476,-0.708999633789102
"1039","14","H05","Mixed",5,2.89585843434008,0.244003295898398
"1040","14","H05","Mixed",6,2.02001690322667,7.2440032958984
"1041","14","H05","Mixed",7,3.35944102401771,NA
"1042","14","H05","Mixed",11,0.704342427119881,4.2470016479492
"1043","14","H05","Mixed",13,1.52037586350972,NA
"1044","14","H05","Mixed",15,0.843459761515737,11.5460052490234
"1045","14","H05","Mixed",17,2.18747807983315,5.3320007324219
"1046","14","H05","Mixed",19,2.50518551065141,6.3320007324219
"1047","14","H05","Mixed",22,1.9643779055759,NA
"1048","14","H05","Mixed",23,2.09002974989962,-1.1710052490234
"1049","14","H05","Mixed",26,2.18710854699012,2.9079971313477
"1050","14","H05","Mixed",29,0.741995859539435,3.4469985961914
"1051","14","H05","Mixed",30,1.11056251202131,5.0540008544922
"1052","14","H05","Mixed",36,1.53359718102065,4.5619964599609
"1053","14","H05","Mixed",37,0.725279690878815,7.7949981689453
"1054","14","H05","Mixed",38,1.17509011090481,2.0110015869141
"1055","14","H05","Mixed",39,0.546304520626683,7.0110015869141
"1056","14","H05","Mixed",40,2.18071354311114,12.0090026855469
"1057","14","H05","Mixed",41,0.897297187303649,0.6679992675781
"1058","14","H05","Mixed",42,2.40616624530536,-4.2569961547852
"1059","14","H05","Mixed",43,0.487948506468399,-1.3320007324219
"1060","14","H05","Mixed",48,2.10702771420926,-2.7559967041016
"1061","14","H05","Mixed",49,0.380532538558545,0.2200012207031
"1062","14","H05","Mixed",50,1.01731935388088,NA
"1063","14","H05","Mixed",51,2.01424701946977,0.221000671386701
"1064","14","H05","Mixed",53,3.06348413028672,-2.2569961547852
"1065","14","H05","Mixed",54,2.42956083936987,2.2210006713867
"1066","14","H05","Mixed",56,5.39230508733675,4.2910003662109
"1067","14","H05","Mixed",58,2.84937094816043,3.2910003662109
"1068","14","H05","Mixed",59,2.37945843703764,1.2440032958984
"1069","14","H05","Mixed",60,2.09088144668894,4.2910003662109
"1070","14","H05","Mixed",61,0.344037420753331,6.2910003662109
"1071","14","H05","Mixed",64,2.43832558192174,5.2440032958984
"1072","14","H05","Mixed",65,2.78569399456663,3.2470016479492
"1073","14","H05","Mixed",67,2.49215489084222,4.5029983520508
"1074","14","H05","Mixed",68,1.05266661865127,3.9609985351562
"1075","14","H05","Mixed",69,1.1616505903713,5.2470016479492
"1076","14","H05","Mixed",70,1.42816841981289,13.9609985351562
"1077","14","H05","Mixed",71,2.81955544653565,-0.6679992675781
"1078","14","H05","Mixed",73,0.866153680596125,-0.6679992675781
"1079","14","H05","Mixed",77,1.09294892356462,NA
"1080","14","H05","Mixed",83,2.90214714187749,2.0540008544922
"1081","14","H05","Mixed",85,1.8739223015667,NA
"1082","14","H05","Mixed",87,1.6267061215347,2.0710067749023
"1083","14","H05","Mixed",88,2.16121169716337,NA
"1084","14","H05","Mixed",92,2.46951855079529,0.0710067749023011
"1085","14","H05","Mixed",93,1.75983473059787,4.6369934082031
"1086","14","H05","Mixed",94,1.89079985394989,13.6369934082031
"1087","14","H05","Mixed",95,0.581340420820971,12.6369934082031
"1088","14","H05","Mixed",96,1.96638675159953,12.3320007324219
"1089","14","H05","Mixed",97,0.466169552868588,15.7949981689453
"1090","14","H05","Mixed",98,2.60422253393485,17.5619964599609
"1091","14","H05","Mixed",99,1.46463688998662,12.3320007324219
"1092","14","H05","Mixed",100,2.9466644745056,10.8289947509766
"1093","14","H10","Mixed",1,1.07186694941039,-0.862994384765599
"1094","14","H10","Mixed",2,2.73390179648828,-1.2629943847656
"1095","14","H10","Mixed",3,2.12146553575158,-0.4870010375977
"1096","14","H10","Mixed",4,3.15356717751684,-0.137997436523399
